ParamValue,Train MSE,Test MSE
1,1.1000404535000599e-05,1.0359268495532685e-05
2,8.819296518480755e-06,2.6985103717403715e-05
3,1.0542400637588634e-05,1.7291400150523964e-05
4,6.8272888779561656e-06,1.0498118752075348e-05
5,5.907728197510539e-06,7.057668605288905e-06
6,5.983937397962929e-06,5.32885610819287e-06
7,5.862655775204972e-06,5.286095137169124e-06
8,4.860899066164713e-06,4.38968227482188e-06
9,4.255948386423972e-06,3.7996615725861275e-06
10,3.904169626625384e-06,3.4586834006619524e-06
11,3.3575870900382213e-06,2.9748179027022193e-06
12,3.830034287208097e-06,3.224330614434443e-06
13,3.720933217782792e-06,3.1688649197632573e-06
14,3.4838732956028715e-06,2.962263109570332e-06
15,3.3802808203745804e-06,2.7422460392274195e-06
16,4.121376821079711e-06,3.357803415516086e-06
17,4.099737854093885e-06,3.352385929915803e-06
18,3.91023852138069e-06,3.182542323759005e-06
19,3.722612296270423e-06,3.0168203987093077e-06
20,4.172479314089816e-06,6.164519655002846e-06
21,4.014280742010359e-06,5.774589753382588e-06
22,3.9595094144855265e-06,5.326623029550507e-06
23,3.882975316316696e-06,5.298300049941377e-06
24,3.6759742910771834e-06,4.982068407801621e-06
25,3.7206324963666384e-06,4.7425509370707e-06
26,3.7248248789224114e-06,4.50048563854791e-06
27,3.654461804201868e-06,4.3427564328326805e-06
28,3.534434841325388e-06,4.144363311007135e-06
29,3.3277796127918685e-06,3.887926817076283e-06
30,3.3529781118926086e-06,3.8393727649661265e-06
