dataset,1,2,3
Train set,0.0005229592503374343,7.054180839660712e-05,0.00046086182657318714
Test  set,0.0005358241621485707,6.927879051206745e-05,0.0004808364449178445
107.59057259559631,139.63818097114563,595.0579969882965
