ParamValue,Train MSE,Test MSE
1,0.005109914227399914,0.003983669456192251
2,0.012009828587176972,0.003136909594949737
3,0.007743606579084406,0.002880807653756985
4,0.006014412331643381,0.0029957007084693834
5,0.005867096266156227,0.002923967048174149
6,0.0051093742150483965,0.0027521724943780235
7,0.004676230239162919,0.0025724349059414735
8,0.004415655795678646,0.0025894893478553204
9,0.004256155041624765,0.0026883180220567612
10,0.004078414007848244,0.0029556079905075023
11,0.004035685704371026,0.002981260046681567
12,0.003938968642556005,0.002960627722665769
13,0.003864297197411158,0.002931632728917698
14,0.0038415558989654368,0.002944614356075477
15,0.003808774689000399,0.00301255021623566
16,0.0037409094065521745,0.0030217889564123934
17,0.0037717927069075134,0.0030007483691729944
18,0.003785447853489039,0.002978001290492259
19,0.003730833262279235,0.002835060786315842
20,0.0037300306235396384,0.0028776234702887894
21,0.0037390205429354215,0.0028618510026536923
22,0.003758064577207427,0.00284170656735021
23,0.0037600017466203088,0.002845667605679129
24,0.003758616223691657,0.0028109045158568923
25,0.003768622035321097,0.0027858285739800737
26,0.0037811574278855315,0.002781000335732331
27,0.003787013097815206,0.0027994495006238565
28,0.0037611631775622966,0.0028069633873862936
29,0.0037827120953222364,0.0028248175592111738
30,0.0037661806638757227,0.002819646521458327
31,0.0037800160838327617,0.002852429900773706
32,0.0037831846551407986,0.0028347895484703532
33,0.0037565352580255945,0.0029277415391846928
34,0.0037575089389580685,0.002924412154992045
35,0.0037633623533575044,0.0029302059821835758
36,0.003760524116838498,0.0029266594435385707
37,0.0037663114874205575,0.0029727121382334756
38,0.0037703850742305364,0.0029521839946861812
39,0.0037851842740610556,0.0030450952797820728
40,0.0037738881702733015,0.003029644614438162
41,0.0037775592419787615,0.0030044302004066706
42,0.0037786456337793647,0.002983265834029417
43,0.0037740138320393117,0.002978541376978067
44,0.0037657929043455104,0.002976064536024914
45,0.0037628528695124643,0.0029852675422175857
46,0.003757450191958339,0.002968663204148328
47,0.003766486954276725,0.00297373449507258
48,0.0037724176162772763,0.002969835220740297
49,0.00378256310798992,0.0030091237301561186
50,0.003769058394484989,0.0029679296762240175
