Dataset,C,gamma
abalone,20.0,0.6162542902218026
cali_housing,7.0,2.0
bos_housing,21.0,0.02439988708316495
auto,1.0,0.42299644001587744
servo,1.0,0.888701771283583
machine,8.0,0.04232577718978212
elevators,200.0,0.11375408824570461
CASP,200.0,2.0
fried,200.0,0.11342269896760986
MV,1.0,1.0836998282267452
