ParamValue,Train MSE,Test MSE, Exec Time
2,0.0042793394303395444,0.0065206872112264025,12.579025506973267
3,0.003653572772979659,0.0074939757838602536,17.46025323867798
4,0.0027208622989536267,0.009980550332310493,26.782368659973145
5,0.002346907491112713,0.011279419819057982,38.15352153778076
6,0.0023686828611781028,0.01129367517223487,39.38436937332153
7,0.001967185799162091,0.013272539375870349,40.417487382888794
8,0.002243483107550475,0.010225388610706815,38.42146372795105
9,0.002186696319672509,0.04731793968140961,38.872578144073486
10,0.0020641814532347956,0.01524661570826217,39.47790050506592
