ParamValue,Train MSE,Test MSE, Exec Time
2,0.00024070347976929758,0.00022507233377066477,718.8187966346741
3,4.9975216555654626e-06,4.8257476563736376e-06,1364.2932817935944
4,2.0277362419165495e-06,2.057429950054274e-06,1639.1959388256073
5,1.0649294047745588e-06,1.1138597132740636e-06,1690.6594896316528
6,1.5498269871089987e-07,1.5761607251402017e-07,1791.4266777038574
7,1.3052649777182864e-07,1.2099116663101302e-07,1880.2833976745605
8,1.1792991000027891e-07,1.179659028091329e-07,2121.8632152080536
9,2.2704677693027554e-08,2.371598600453201e-08,2351.5325055122375
10,2.8467330871878944e-08,2.5061338911577424e-08,3139.365457057953
