ParamValue,Train MSE,Test MSE, Exec Time
2,6.968865469654252e-05,7.064419128866616e-05,649.8440866470337
3,3.147786368991895e-05,4.337308666038685e-05,966.7861967086792
4,2.3762806846553175e-06,1.632424575430478e-05,1683.4210062026978
5,6.408308737818439e-07,1.4657473205671691e-05,1810.1420350074768
6,4.790106655625089e-07,1.626807213074463e-05,1889.9594280719757
7,1.541849731382161e-07,1.5957414929648356e-05,1946.4334676265717
8,5.894695804204203e-08,1.5876572617251276e-05,2183.100991487503
9,5.11952147108051e-08,1.587519045477409e-05,2772.1064627170563
10,2.7670022092701485e-08,1.587344502192873e-05,3374.6203627586365
