ParamValue,Train MSE,Test MSE, Exec Time
2,5.566600107413302e-05,5.4966109899761555e-05,1061.675784111023
3,4.374546665868631e-06,4.555661909351947e-06,1411.9751291275024
4,2.259290266774318e-06,2.261828927532866e-06,1550.4832792282104
5,1.2019708601220262e-06,1.1092403252211901e-06,1682.95366024971
6,2.2873760745231845e-07,2.2418615385270023e-07,1764.9745271205902
7,2.1625342562057075e-07,2.1220810872233973e-07,1803.6648712158203
8,7.078786042395968e-08,6.814687755183843e-08,1894.589650630951
9,1.2997649607711115e-07,1.4262913060439784e-07,2371.254309654236
10,1.2306067743147812e-08,1.1470195298532734e-08,3019.285355091095
