ParamValue,Train MSE,Test MSE
1,0.051562854723888114,0.05148051281156764
2,0.7532527085888229,0.048831166121744415
3,0.36428729818252586,0.04912780872263365
4,1.492354596688807,0.04862960112853636
5,1.281309129713525,0.04890598455413047
6,0.9037302582211391,0.049013915193226454
7,0.6749919728870493,0.04876824102791503
8,0.5272570008500395,0.048838743723423596
9,0.426598251918726,0.04862840218477565
10,0.3958442797484594,0.04855836754521484
11,0.33222197374036083,0.048611692996293795
12,0.28763172027191114,0.048703264027954836
13,0.25208492543194144,0.048670015211708745
14,0.2241899549386987,0.048732399605322115
15,0.21073224069936847,0.04881384783556166
16,0.19035977650964395,0.04874260348900535
17,0.17813072087794388,0.049134409602153914
18,0.17228693846392093,0.04907465041010552
19,0.1595800933049362,0.04908529232375332
20,0.14865921651891806,0.049027844204316655
21,0.13559577000797204,0.04873424068734369
22,0.1476603468903612,0.04866983482265932
23,0.14259637045675833,0.048626693980504364
24,0.19836155836203806,0.04865791474331425
25,0.18657149456116479,0.0486967620858559
26,0.17610031780270236,0.04870938298255096
27,0.15847250060469603,0.04868013346143554
28,0.1513062915519894,0.04864744369311179
29,0.14382321311237226,0.048696614110123174
30,0.13752801575226678,0.04868833996453479
