ParamValue,Train MSE,Test MSE, Exec Time
2,0.0013188122083668962,0.001444621892004055,906.0844285488129
3,0.0011055953891387468,0.001178442980933015,863.6833343505859
4,0.0010748644354478044,0.001167480806900467,884.7609848976135
5,0.0010208205989362105,0.0011820709332245874,1040.1266136169434
6,0.0009615897755364942,0.0011895710042422619,1099.2674672603607
7,0.0008710710993154174,0.0011699056660382876,1291.558464050293
8,0.00080447927493814,0.0012620628517544107,1516.3512971401215
9,0.0006938526031288539,0.0014209004556678328,1887.6724774837494
10,0.0006177326794818479,0.0016942425302160689,2344.2473423480988
