ParamValue,Train MSE,Test MSE, Exec Time
2,0.001265743025074291,0.001296581801134549,618.6477711200714
3,0.0010883776056518496,0.001142899097593185,1121.1942484378815
4,0.0010756133987649833,0.0011382260107128971,895.4816009998322
5,0.0010113491997693418,0.0011156214088125342,1007.4863886833191
6,0.0009733191474302795,0.0010928543645609564,1085.3924469947815
7,0.0008656005782074978,0.0011112169738491295,1270.9765782356262
8,0.0007781425385686581,0.0012619511842246846,1515.7388172149658
9,0.0006775344580679993,0.001432352292613718,1908.6492094993591
10,0.0006013974523956252,0.005881194565142408,2341.871421098709
