ParamValue,Train MSE,Test MSE, Exec Time
2,0.0054906470786704195,0.0977548431275073,31.24599266052246
3,0.005334117732855425,0.09742120578573972,43.637272357940674
4,0.005157243290014443,0.007271531608672817,59.01747798919678
5,0.004916596628442671,0.134106673388354,90.51170063018799
6,0.004468036653383258,0.578121054093197,128.8250744342804
7,0.004091481001246984,0.00808456322773595,179.7384855747223
8,0.003525740473277322,0.013698521514428049,246.83836102485657
9,0.003187944579913496,0.01037344719385448,309.42057156562805
10,0.002872576835490646,0.6245943582915681,376.3078570365906
