ParamValue,Train MSE,Test MSE, Exec Time
2,0.0043102778505982806,0.004411489883260866,10.619778156280518
3,0.0038342994797520027,0.005697290931871047,15.736390352249146
4,0.002914894273856912,0.0057094866814769605,26.224669694900513
5,0.002766754500002133,0.0073689068620832595,32.20789170265198
6,0.002680158778480335,0.008497367696016852,34.03689765930176
7,0.002516147317224823,0.007356667631385731,34.43154501914978
8,0.002539653816614112,0.007659169260167149,34.72609782218933
9,0.002746708040968398,0.007785604481669029,34.4433171749115
10,0.002625566274297347,0.0073688582395410865,34.50203013420105
