ParamValue,Train MSE,Test MSE
1,0.02109714488640984,0.030239138565881164
2,0.007992611374703529,0.013159336245758718
3,0.005895980464305079,0.008866376833944558
4,0.004805888276424552,0.006861074249051647
5,0.004702243888097515,0.00612808883236108
6,0.00451707543970996,0.005184966109812077
7,0.004229604891860431,0.005160425597347784
8,0.0041357232345441315,0.005167811366123016
9,0.004076404598858835,0.004980024271534325
10,0.004069960027646884,0.004867299484102202
11,0.004105998069680536,0.00487384414096967
12,0.004101902880125203,0.00467857023998368
13,0.004089838270775399,0.004578262359812148
14,0.004045347035398243,0.004513187063891906
15,0.004147908500335554,0.0044743131780929386
16,0.0041815668007103325,0.004429115917329691
17,0.0042118827007018595,0.004538972906122475
18,0.0042835660836606886,0.004286147613278721
19,0.0042195079008602605,0.004304727707275351
20,0.004212785935004732,0.004288857498953543
21,0.004240348878928336,0.004281547611984162
22,0.004205037809350754,0.004294690468976249
23,0.004158050130067655,0.004187994841114756
24,0.004164801072767795,0.0042219633309938855
25,0.0041191958287867154,0.0042296011123546815
26,0.004125396636702614,0.004311968932473306
27,0.004131043018769033,0.0042653778527339615
28,0.004089357815258897,0.004305796132567159
29,0.004080747795464653,0.004321045060272053
30,0.004073631625230287,0.00436688462007454
31,0.004052662212821533,0.004289949195337903
32,0.004035616051312286,0.004378714468380716
33,0.004105539684599998,0.004498577083929121
34,0.004096584211286708,0.004501888919592506
35,0.004115829410413955,0.004672945608184553
36,0.004128229539041277,0.00470983147277064
37,0.0040924200180172295,0.0046965438980379635
38,0.0040724336877625954,0.0047238300065027385
39,0.004074880928371917,0.008705270792518302
40,0.004080466439259746,0.008537587925547865
41,0.004072418559381356,0.00841200859868912
42,0.0040648374743373185,0.008207678031435035
43,0.004105882542749731,0.0076374862388953425
44,0.004084104522279137,0.007400021368503604
45,0.00409640916407575,0.007296691131450548
46,0.0041158855419514695,0.0071565279812666315
47,0.004128583751033924,0.007005544910230257
48,0.004131607511120413,0.007006739571566917
49,0.004113145756405483,0.0069678438836666
50,0.004124063174845334,0.006896464500918976
