"Run","Model","Dataset","Train_RMSE","Train_MAE","Train_R2","Test_RMSE","Test_MAE","Test_R2"
1,"M5","abalone",0.0745912066934804,0.0520793130195981,0.58667542873801,0.0731205738253108,0.0507483899909099,0.543243145756469
1,"M5E","abalone",0.0759191603162797,0.0526925155021441,0.571827520297663,0.0712137552252942,0.049391593868123,0.56675489323492
1,"M5","auto",0.0683202401378209,0.0490929491595867,0.890787354877605,0.0775220647642591,0.0571227405754777,0.819990776216222
1,"M5E","auto",0.065806897058635,0.0464607618025406,0.898674913276958,0.0760822330873296,0.0543856015474628,0.826615369008948
1,"M5","bos_housing",0.0594996187021338,0.0425133507162726,0.908927006314329,0.0689773774752372,0.0535590932295863,0.919233345814085
1,"M5E","bos_housing",0.0503208261178099,0.0359007694049481,0.934858647398898,0.0629341959100019,0.0489517280719119,0.932765510626287
1,"M5","cali_housing",0.0905582703841894,0.0579348696159966,0.856350887501406,0.0969271275116586,0.0629581374074472,0.820238215451533
1,"M5E","cali_housing",0.0833369532720614,0.0528411926455193,0.878347245487904,0.0895867134640807,0.0580327173029271,0.846434416180088
1,"M5","CASP",0.196865048464257,0.136983984434654,0.543447835266989,0.203631229927049,0.142729558901913,0.510740477811143
1,"M5E","CASP",0.176928280378304,0.124656903067101,0.631236708175732,0.18261435460472,0.128780761787093,0.60652210121985
1,"M5","elevators",0.0323849873274084,0.0236771975584203,0.900464255037529,0.035451209287194,0.0243166463727056,0.885480776601631
1,"M5E","elevators",0.0312083312824575,0.0228300544251756,0.907565796512708,0.0334719073384213,0.0235350359609339,0.897911409634853
1,"M5","fried",0.032567491837958,0.0258886275256365,0.95730442123086,0.0335505040858142,0.0266817798097921,0.95460267134387
1,"M5E","fried",0.0314988327054802,0.0250824334286824,0.960060447102181,0.0322947039552847,0.0255332536100248,0.957937525893334
1,"M5","machine",0.022374576580711,0.0150302347684807,0.976533541344355,0.0248354607687663,0.0161896629216812,0.878498485518551
1,"M5E","machine",0.0274343921189717,0.0170944936914189,0.964719999116545,0.0254110733381136,0.0157914095649094,0.872801125979801
1,"M5","MV",0.000298437991754075,0.000133686727485891,0.999998397765679,0.000299255858947653,0.000131863914633021,0.999998322509376
1,"M5E","MV",0.000229981816492448,0.000122695536584345,0.99999904850872,0.000266551545717739,0.0001244438502238,0.999998669125242
1,"M5","servo",0.0451661222885869,0.0308600213623032,0.962135025628583,0.0382674278585836,0.0269823780399057,0.972730434650758
1,"M5E","servo",0.0451661222885869,0.0308600213623032,0.962135025628583,0.0382674278585836,0.0269823780399057,0.972730434650758
2,"M5","abalone",0.0745057827125231,0.0518657549712049,0.574903185258387,0.0784125670136869,0.0549088169553878,0.574271336944806
2,"M5E","abalone",0.0743524403374003,0.0517938976781102,0.576651191197893,0.0789012552271829,0.054957876186907,0.568948290012623
2,"M5","auto",0.0608304222468689,0.0450107175731479,0.91285556932528,0.120088014295577,0.0800385323830205,0.670832880362182
2,"M5E","auto",0.0615046784172904,0.0444823310684977,0.910913011354769,0.0987057360567151,0.0644271938781626,0.777616837111452
2,"M5","bos_housing",0.0635404982711169,0.0455053758960139,0.901090956217011,0.0482480264977197,0.03807888324549,0.934446267570384
2,"M5E","bos_housing",0.0475288121527166,0.0357802812953667,0.944658784717341,0.0505659723708684,0.0392197068658919,0.92799626212061
2,"M5","cali_housing",0.0893979402014557,0.0578250310968144,0.859713407754786,0.101952767492553,0.0631619029461452,0.815846642021557
