ParamValue,Train MSE,Test MSE, Exec Time
2,0.016888278492711413,0.04641428784633141,195.09808468818665
3,0.016379695190935996,0.02681607721729903,293.14918637275696
4,0.015237600884388866,0.024263453670963952,352.6942353248596
5,0.014447913103620457,0.02135027738872788,411.5872895717621
6,0.013012985060252317,0.4061307840666436,499.158344745636
7,0.011382321266676248,0.2627317503392553,609.3089292049408
8,0.009899150564658222,0.21480273759894808,767.2322347164154
9,0.008420545241488553,0.44824328448866585,975.7422163486481
10,0.0075871746031184895,0.7606873313925664,1195.748694896698
