ParamValue,Train MSE,Test MSE
1,0.015627859132939115,0.027568292163483332
2,0.016153144001487204,0.08492782372947753
3,0.015388045773790862,0.04519909693460796
4,0.01496496950533613,0.03310897704971882
5,0.014697469243593527,0.02564887611967785
6,0.014665870535241208,0.020877051194356535
7,0.014587329495029635,0.01899589554912918
8,0.014484504757988056,0.030465498908845985
9,0.014353663827665265,0.025888513416091122
10,0.01430542752959664,0.02350586085095596
11,0.014256593398052303,0.01963920085104313
12,0.014253410681655636,0.018528659185798206
13,0.014200001429197785,0.01801480543985432
14,0.014121791781404028,0.017419620738727506
15,0.014119909667234639,0.017042387015047077
16,0.01403918267357728,0.016701550544380443
17,0.014008201659957361,0.016395745025127847
18,0.014020469273359348,0.016340633177458392
19,0.014053315185315359,0.015372169954543774
20,0.014064036256680451,0.015564503123405547
21,0.014077616878965495,0.01549598601286471
22,0.01411744546308611,0.016615867754062652
23,0.014024286889342725,0.016437606149151133
24,0.014052157663434275,0.016516535317052522
25,0.014003281382168747,0.01637721581861654
26,0.014017070348070058,0.0164173333988947
27,0.014011533830995154,0.016333318118528294
28,0.01400744201563106,0.01624695474235135
29,0.014006346986311244,0.016172420891425232
30,0.014015059200989092,0.015870203227509795
