ParamValue,Train MSE,Test MSE, Exec Time
2,0.003271678695259988,0.003316770718119828,631.8687908649445
3,0.0017487271304066272,0.0017393329993666312,894.7537415027618
4,0.0010506525376611968,0.0010386688415053998,1078.6296818256378
5,0.0012292442748181181,0.0012197772354737534,1185.6243870258331
6,0.0011447149661499344,0.0011474169501389747,1314.9385175704956
7,0.0012372913651460034,0.0012600497080094701,1546.4193484783173
8,0.0010829562963983151,0.001206589794979314,1856.5693337917328
9,0.0010918187995096439,0.0014146309635759899,2348.348914861679
10,0.000987589260976286,0.00162824383100087,2961.3457341194153
