ParamValue,Train MSE,Test MSE, Exec Time
10,0.03521154810831896,0.035037859449378816,7.549391746520996
15,0.011453551723596658,0.011522149487227702,3.5060033798217773
20,0.01839928499477435,0.018818654505611307,4.704755544662476
25,0.008044618409276142,0.008087746935047298,3.709176778793335
30,0.008378555658932247,0.008524576437474542,5.096070289611816
35,0.008317681503746496,0.008483356828673997,4.842853784561157
40,0.0063181946236181286,0.0061354629791941905,4.953521966934204
45,0.004308332885925147,0.0042500173575300846,4.660456895828247
50,0.00650577340815087,0.006735761830581522,5.931926250457764
