ParamValue,Train MSE,Test MSE, Exec Time
2,0.01727178527178646,0.019089722715136294,189.27927470207214
3,0.016456454040298243,0.020412151946127888,235.106449842453
4,0.015735123334850578,0.041913590714433964,293.80688428878784
5,0.014763048433987768,0.07060324797965623,367.1859083175659
6,0.013445707731069042,0.042318718164258785,460.3592052459717
7,0.011728054887072754,0.01985439809961935,588.3237698078156
8,0.00999935964510167,0.39768083966980855,761.0874967575073
9,0.008413651588103845,0.035164798382395245,959.6735262870789
10,0.0073286987866354415,0.05945925341834204,1188.6769471168518
