ParamValue,Train MSE,Test MSE
1,0.017213760396709812,0.06889462184388699
2,0.016622899023303443,0.05882285010833199
3,0.01546508593753048,0.04142373437624697
4,0.015143340985376195,0.03895907552302541
5,0.01460963280923268,0.034287910250694865
6,0.014302591495236947,0.04116328427256122
7,0.014210986048630138,0.035621096969560076
8,0.01416848836149198,0.03436459307151146
9,0.014094895807091267,0.03621470498583779
10,0.014183089874164409,0.0300270481294086
11,0.014074699116139856,0.02964459982487904
12,0.014140060863655633,0.030453787947438787
13,0.015342664730923111,0.027903521675073494
14,0.015093035277637196,0.025851433391708402
15,0.014962254698026027,0.02389683444856208
16,0.014882882634218603,0.02355396743671068
17,0.014753752830165612,0.024019520225767733
18,0.01459777829771123,0.025447203833472085
19,0.014645510762153138,0.02508658862653152
20,0.014552419587164437,0.023964897744558546
21,0.014482745554196144,0.022922844339557956
22,0.014454997299687,0.022884727971526183
23,0.014438804196640434,0.02294298277430037
24,0.014734164443335366,0.01957115282165823
25,0.015352060895761818,0.019437116138976567
26,0.015239196216076577,0.01968444942044748
27,0.015150970395120622,0.019270680181082214
28,0.015074551745705241,0.0187465902475212
29,0.01499388937196175,0.018789092176811066
30,0.014932216095986514,0.017996443592060818
