ParamValue,Train MSE,Test MSE, Exec Time
2,7.735693260208139e-05,7.472910899926608e-05,625.7435865402222
3,1.4966104660578403e-05,1.5226963037759588e-05,833.0305297374725
4,2.183721551860221e-06,2.243257409612764e-06,952.0269246101379
5,4.196179908909536e-07,4.543487175223745e-07,1078.1552467346191
6,2.541937646880949e-07,2.9794104393339347e-07,1194.321063041687
7,2.445440504078052e-07,2.900312231914975e-07,1376.6718516349792
8,6.375564035327331e-08,7.61588659600091e-08,1614.9886004924774
9,5.3198691382730206e-08,8.197593239672973e-08,2127.8227150440216
10,4.862985485712962e-08,9.555130648335634e-08,2882.159142971039
