ParamValue,Train MSE,Test MSE
1,2.7529791770168804e-05,7.7687505045901e-05
2,8.80927261894917e-06,7.932945093196997e-05
3,5.778701295850518e-06,3.728994801694812e-05
4,6.2109223943856726e-06,2.1913843032592403e-05
5,4.619994881857723e-06,1.4799659600832102e-05
6,3.86692086525054e-06,1.1111630341913932e-05
7,4.324583642338558e-06,9.850188164332393e-06
8,3.766679205534544e-06,7.851574723087463e-06
9,3.888423327568316e-06,7.232392357707013e-06
10,3.5660769159823476e-06,6.374816519060036e-06
11,3.0924267733262257e-06,5.424883637558343e-06
12,3.7540352044504176e-06,5.9262687131441945e-06
13,3.4694620621439607e-06,5.371396853025263e-06
14,3.445126028592708e-06,5.194345509533894e-06
15,3.395202500069521e-06,6.7402825554250505e-06
16,3.2242006376555015e-06,6.60805158175593e-06
17,2.959784472836576e-06,7.779247183442266e-06
18,2.895139505252188e-06,7.248130202557823e-06
19,8.444122277812367e-05,9.171369856693402e-06
20,7.631931065001542e-05,8.355152095871007e-06
21,6.951315022280015e-05,9.780740264887984e-06
22,6.403955249275333e-05,1.1141099983494104e-05
23,5.8827852650140154e-05,1.0497388855127922e-05
24,5.4180593649262675e-05,9.821852489769661e-06
25,5.012301032489476e-05,9.278906925246008e-06
26,4.637969265271279e-05,8.638355375051978e-06
27,4.3048054692902136e-05,8.043777471390945e-06
28,4.017858482713497e-05,7.68104421778466e-06
29,3.763893211419156e-05,7.374586003964233e-06
30,3.526749460852113e-05,7.01694480257233e-06
