dataset,1,2,3
Train set,0.00043407964349354407,0.00045326413877309657,0.00021510455976624654
Test  set,0.0004136196732429304,0.0004513372272070445,0.00020933395366449383
73.49786114692688,97.70900392532349,433.98410630226135
