dataset,1,2,3
Train set,0.0014522908331731346,0.0013657184488910824,0.0013759562452133587
Test  set,0.001434542205372331,0.0013439418682609937,0.0013619230983328253
108.60015916824341,100.36036968231201,897.4134523868561
