ParamValue,Train MSE,Test MSE, Exec Time
2,0.0013474854372756788,0.0013820707402229398,483.9053490161896
3,0.00116911931745152,0.04178783114433626,795.4861028194427
4,0.0010844612408551705,0.0011684572813236327,996.9462430477142
5,0.0010081920490952198,0.0011126757742799787,1225.6590323448181
6,0.000978288192588508,0.03387439741489714,1106.5517106056213
7,0.0008620328164460636,1.0812667079865312,1317.5518505573273
8,0.0007273135802075183,0.8475659016486731,1586.8184621334076
9,0.0006231814746345375,1.557240933597853,1938.0799160003662
10,0.0005373217884115745,2.8477548086117515,2375.0347154140472
