ParamValue,Train MSE,Test MSE, Exec Time
2,0.004056125776673891,0.0012223179657204239,8.627973556518555
3,0.005795331783492534,0.0016844181695476073,11.560134410858154
4,0.0057699227987641245,0.0016333583881400558,16.395700931549072
5,0.005773377547316538,0.0015953176502927716,15.77898359298706
6,0.005752810258115714,0.0017817067169909673,16.065996885299683
7,0.0057594949316403556,0.0016225327404699053,15.980326175689697
8,0.005758493191622603,0.0016210924452325528,16.69345188140869
9,0.005789527407818147,0.0016598368626834223,15.102478265762329
10,0.005760273436199819,0.0016169837583629798,16.09583044052124
