ParamValue,Train MSE,Test MSE, Exec Time
2,0.05668073402982156,0.05725041027904158,688.9231283664703
3,0.053885264307812784,0.053800310929548845,991.0364811420441
4,0.050792367364756216,0.05147302834627719,1198.0538005828857
5,0.048586107431646486,0.12200437402677065,1353.799878358841
6,0.044771081823017034,2.5651836420213656,1594.6124041080475
7,0.04130917421656813,0.9290730043787737,1613.0724806785583
8,0.03843876291968199,0.06559561256125314,1915.826506614685
9,0.03479017412395489,0.1551899660539288,2280.500215291977
10,0.030991718913256056,0.08357923206756489,2740.304568052292
