ParamValue,Train MSE,Test MSE
1,0.13200242831446493,0.05104153978123906
2,1.4427476403579063,0.05177154135343655
3,1.083602779902452,0.05174536396197917
4,1.0113353306421182,0.06411731704009271
5,0.6544095769111089,0.05990609192192211
6,0.4815386472273879,0.05599939329868669
7,0.36656540386022685,0.05371643644487553
8,0.5795950833356376,0.055561132691500016
9,0.4582424518254112,0.05330277638500895
10,0.3801768669553217,0.05212191413526206
11,0.3218885552224357,0.051347967772889226
12,0.27820788551457676,0.05057960782700626
13,0.2359372118468514,0.05018261683330968
14,0.2073971608176184,0.049567134860815286
15,0.18679176663676256,0.049262814116050956
16,0.1683862347004453,0.04897521048547373
17,0.15138842015744258,0.04873377057117969
18,0.14038501677904566,0.05022890453191729
19,0.1233718541343115,0.04989839153188733
20,0.10424905509741902,0.049435320790023114
21,0.10656119553329452,0.04929680427863028
22,0.10128247991019008,0.04916617404075396
23,0.07737045810502424,0.04885604829950197
24,0.09135410731806681,0.048775025380266554
25,0.08775375154980382,0.04868534823070839
26,0.08467100092907819,0.04853792682032322
27,0.08233430236193168,0.0484171579647773
28,0.08016155309281313,0.048339021511085434
29,0.07799244547701938,0.04827841573136133
30,0.07564939019647222,0.04818077707545452
