ParamValue,Train MSE,Test MSE
1,0.02283750604572947,0.015923444953327634
2,0.026429704909397073,0.016699910744111184
3,0.020387727299839148,0.015551365670407132
4,0.01866824663967258,0.014899465121625885
5,0.018811045500623097,0.014645323478407643
6,0.017920430558783985,0.01464633402978761
7,0.017541770269564057,0.014552217897335434
8,0.016823830564591295,0.014515817711131402
9,0.016191311045527935,0.014323619457717296
10,0.015659866194658915,0.014185351610439533
11,0.015272280557959579,0.014160364282778542
12,0.015085733480866042,0.014081761899700769
13,0.014897942039023497,0.014033572702499697
14,0.015012905354153127,0.014011545075019788
15,0.014895407052025416,0.014009247852494664
16,0.014818208049836818,0.014023761090990525
17,0.014759435717227974,0.01398813344833235
18,0.014721175687462531,0.013983616211018809
19,0.01475522732921073,0.013972156018435919
20,0.014819369850143005,0.01400391028795096
21,0.014921361692038924,0.013928515523064988
22,0.014753567922935808,0.01392660062684801
23,0.014731531858897107,0.013975414346656148
24,0.014712382110422136,0.013944411852308852
25,0.014688430482636685,0.013938613106937819
26,0.014569296481855185,0.013889314186102567
27,0.014556825715569035,0.013894205413438951
28,0.014580634346925227,0.013922538885415729
29,0.014598460863314853,0.013940404638840637
30,0.014563409353278833,0.013927077256418681
