ParamValue,Train MSE,Test MSE, Exec Time
2,0.017409633228589332,0.0171320890848451,233.24557518959045
3,0.017344480387087254,0.017343076830781772,264.02604031562805
4,0.01581494266483084,0.01568217435639963,339.7397813796997
5,0.014829065165967064,0.015457593063447711,405.14708709716797
6,0.013299489851186013,0.015088683063836107,513.0626721382141
7,0.011676220543221696,0.01420133808776838,587.1832427978516
8,0.010002625119369396,0.01839995070384719,749.3912148475647
9,0.008541122853733546,0.01892958894706102,964.2277898788452
10,0.0070787189536759615,0.026966628426354364,1174.4661748409271
