ParamValue,Train MSE,Test MSE, Exec Time
2,0.017585138940927097,0.01661554189638383,187.98219299316406
3,0.0169418481620086,0.015994479732032742,257.45809149742126
4,0.01597813171074323,0.01540639164574091,343.0608546733856
5,0.014558762473705945,0.015411643863747257,389.72183418273926
6,0.013625376738363169,0.014124956414394745,483.02786111831665
7,0.011997822045230564,0.014049062705669559,597.1195967197418
8,0.010365996693442578,0.013282255619893345,767.9575164318085
9,0.008777100938552135,0.012450118112652545,920.5228457450867
10,0.0074115631377787514,0.015097017940236525,1183.7670283317566
