ParamValue,Train MSE,Test MSE, Exec Time
2,0.018360796812318707,0.01776512100699848,164.20789003372192
3,0.01656292708291957,0.016431115383522,272.14866042137146
4,0.015259738521136082,0.01603848920520872,330.31325030326843
5,0.014716686501929909,0.20758107701854492,401.7660143375397
6,0.0133134102743295,0.015290513573443397,461.9841089248657
7,0.011396849321757595,0.03956052364048204,589.6878595352173
8,0.01001453931298674,0.023397499451503264,751.8182046413422
9,0.008288146830068528,0.04235648505347883,955.082722902298
10,0.0069732361189296,0.13445354814452426,1221.821884393692
