ParamValue,Train MSE,Test MSE, Exec Time
2,0.0007503719393127821,0.0008519112972926772,6.98868203163147
3,0.0006046036264542295,0.0017322485673385503,9.54641342163086
4,0.0006154704945963401,0.0011982685339338788,12.389225006103516
5,0.0005789218754908584,0.0017681164681820733,14.459479808807373
6,0.0005733100322823262,0.0017452156673446512,17.55921769142151
7,0.00048229443705121946,0.0015704289441008296,18.893905878067017
8,0.000578886280058404,0.0017731092422916229,17.697080612182617
9,0.000573991222451275,0.001771416796233457,17.540796279907227
10,0.0003493994442202135,0.0019004703407151731,18.640493392944336
