ParamValue,Train MSE,Test MSE
1,0.0010992379633968186,0.0012392606634490883
2,0.0010306970515653981,0.0011780953866745328
3,0.0010005748467035284,0.001166247091778396
4,0.0009761537016301635,0.0011422111776208182
5,0.0031183539597632384,0.0056682695589451
6,0.002457331598059138,0.004267069035663075
7,0.002066687353259745,0.0034546778431255123
8,0.0018049357318494406,0.0029103556445947017
9,0.006359136498401131,0.0025269121563298398
10,0.005334306479155909,0.002256806546798477
11,0.004573263858466159,0.0020555861543602827
12,0.003991669590875085,0.0019058077212896392
13,0.0035387440786525757,0.0017842820923276125
14,0.0031848102093532953,0.0016928747532281398
15,0.0028965810417745826,0.0016138644927653604
16,0.0026595658764118,0.001546961931684368
17,0.002463108146344249,0.0014949829976318757
18,0.002298483086007076,0.001448403128868219
19,0.002160618641229047,0.0014095240237355677
20,0.002043257528913948,0.0013776671901212863
21,0.0019404972532705044,0.0013516775923082115
22,0.0018514190665137383,0.001332048455208422
23,0.0017786000710107149,0.0013128431388698184
24,0.0017888163884519008,0.0013923483577705535
25,0.0017214420584748644,0.001365581596767575
26,0.0016652556326099298,0.0013471778618464015
27,0.0016124398374611007,0.001326919813989906
28,0.0015666343604725666,0.0013118393312014519
29,0.0015265845634346092,0.0012988361264396962
30,0.0014879863000262117,0.0012838484471437157
