run,rmse,popsize
0,2.2661512574828055,10
1,2.264072199117422,10
2,2.2597260848177996,10
3,2.2505416676183314,10
4,2.2473360929125192,10
5,2.240375291881237,10
6,2.2327519356810828,10
7,2.2305999778938728,10
8,2.2277180686760065,10
9,2.2233076890048915,10
10,2.2193344592214665,10
11,2.2151260362827783,10
12,2.213277959837444,10
13,2.204226508196217,10
14,2.202020997257844,10
15,2.1977236959510784,10
16,2.1926825023695447,10
17,2.191111249240043,10
18,2.1875241489582384,10
19,2.181129300183358,10
20,2.1783584720714813,10
21,2.1726051547670973,10
22,2.1668662252458555,10
23,2.1643546519020074,10
24,2.1629119518072963,10
25,2.1588879831936585,10
26,2.1566318663188753,10
27,2.15585474551751,10
28,2.155282402635484,10
29,2.1531344028643575,10
30,2.1482124142171717,10
31,2.1478855222723094,10
32,2.1449843929506844,10
33,2.143963753023861,10
34,2.1433492612288956,10
35,2.1421324257042023,10
36,2.1397560950693024,10
37,2.1377651571998806,10
38,2.136996771781987,10
39,2.1361603865528442,10
40,2.133860502706891,10
41,2.13315924627578,10
42,2.132307321740286,10
43,2.1311366935499523,10
44,2.1299472314849104,10
45,2.129187937328323,10
46,2.1288259647963232,10
47,2.1267488576087703,10
48,2.1261693148842697,10
49,2.1241024926744103,10
50,2.1228872276799575,10
51,2.122194192295321,10
52,2.1206771429623914,10
53,2.1192860591482785,10
54,2.1186364034504868,10
55,2.1180591455970252,10
56,2.1180412684063676,10
57,2.117638621357079,10
58,2.1170913158463143,10
59,2.11661108159347,10
60,2.115599217961275,10
61,2.1149919990611776,10
62,2.113790233078524,10
63,2.1131744227535507,10
64,2.1112300947197555,10
65,2.1109851184320596,10
66,2.110700537147049,10
67,2.1090211790765476,10
68,2.1085127003152553,10
69,2.1082355671754254,10
70,2.1071849503583997,10
71,2.107005886966925,10
72,2.106330680759028,10
73,2.1058800790845167,10
74,2.1051301617046634,10
75,2.104491828938712,10
76,2.103242818857211,10
77,2.102929964680796,10
78,2.102422995432164,10
79,2.1023616066681594,10
80,2.101818858139005,10
81,2.1010580092851416,10
82,2.1005558737666474,10
83,2.1000407143531614,10
84,2.0994873328327297,10
85,2.0991739345828337,10
86,2.0991064023666146,10
87,2.0990929542236274,10
88,2.0988764316394293,10
89,2.0985020862413624,10
90,2.0984654515535786,10
91,2.097781077131261,10
92,2.0972712314683486,10
93,2.097171458008076,10
94,2.0970416529157387,10
95,2.096864771583892,10
96,2.096404134807454,10
97,2.0962254551821227,10
98,2.095950905511122,10
99,2.0951208918229427,10
0,2.2543495374248,15
1,2.2523952098517848,15
2,2.2398709942087622,15
3,2.23089997674934,15
4,2.2289180704839793,15
5,2.2203661159268027,15
6,2.2154213786074144,15
7,2.2142614368288287,15
8,2.2096626397816577,15
9,2.207102774158082,15
10,2.2025693479603756,15
11,2.2005373229660985,15
12,2.1973294200010542,15
13,2.193448057838361,15
14,2.1893088025549328,15
15,2.1841318247843664,15
16,2.181635266839356,15
17,2.1782737758227686,15
18,2.177554340295929,15
19,2.1757319655152276,15
20,2.173553580970588,15
21,2.1733141932160316,15
22,2.1683699805563403,15
23,2.1676897292178903,15
24,2.1646806234307947,15
25,2.162622226620675,15
26,2.1591000297932483,15
27,2.1582361195452866,15
28,2.1574574150911405,15
29,2.1538464904524894,15
30,2.152879156734224,15
31,2.1507814493350237,15
32,2.149548825273073,15
33,2.1473857560251615,15
34,2.1453147403990505,15
35,2.1446802412220234,15
36,2.144547556698571,15
37,2.143316580341673,15
38,2.142634601709142,15
39,2.1403212528985978,15
40,2.139634982384452,15
41,2.137558752615853,15
42,2.136905375730974,15
43,2.1365342831515313,15
44,2.1355098417792484,15
45,2.13458916100864,15
46,2.1336364949579307,15
47,2.13333209077723,15
48,2.1321833650669544,15
49,2.1317199125022177,15
50,2.1307922003579436,15
51,2.1284728664605463,15
52,2.1281492429742253,15
53,2.12747006488639,15
